wandb_project,wandb_group,wandb_name,seed,weights,embed_dim,lamda,test_clf_acc,test_triplet_acc,test_1nn_acc,h2h_50,h2h_512,NINO_ds_acc_k=1,rNINO_ds_acc_k=1,NIFO_ds_acc_k=1,NINO_ds_acc_k=3,rNINO_ds_acc_k=3,NIFO_ds_acc_k=3,NINO_ds_acc_k=5,rNINO_ds_acc_k=5,NIFO_ds_acc_k=5
wv_3d,align=1_filtered,TN,1,"[1, 1, 1, 1]",50,0.0,0.7425,0.9667315,0.9975,0.881,0.8162500000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=1,MTL0.2,1,"[1, 1, 1, 1]",50,0.2,0.995,0.97066665,1.0,0.88375,0.8225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=1,MTL0.5,1,"[1, 1, 1, 1]",50,0.5,0.9975,0.97183335,1.0,0.8825,0.818,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=0.5_filtered,MTL0.2,2,"[0, 0, 1, 1]",50,0.2,0.995,0.97307694,0.995,0.92325,0.897,0.6425,0.6475,1.0,0.65,0.65,1.0,0.5875,0.5875,1.0
wv_3d,align=1,TN,1,"[1, 1, 1, 1]",50,0.0,0.5025,0.96666664,1.0,0.8905,0.82925,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=1,MTL0.8,1,"[1, 1, 1, 1]",50,0.8,0.9975,0.9615,1.0,0.88175,0.8175000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
wv_3d,align=0.5_filtered,MTL0.5,2,"[0, 0, 1, 1]",50,0.5,0.9925,0.9728507,0.995,0.9255,0.8985,0.7275,0.73,1.0,0.67,0.6725,1.0,0.655,0.655,1.0
wv_3d,align=0.5_filtered,MTL0.8,2,"[0, 0, 1, 1]",50,0.8,0.9975,0.9690045,0.9975,0.9295,0.8887499999999999,0.715,0.7175,1.0,0.695,0.695,1.0,0.67,0.67,1.0
wv_3d,align=0.5_filtered,TN,2,"[0, 0, 1, 1]",50,0.0,0.54,0.9739819,0.995,0.92475,0.8949999999999999,0.655,0.655,1.0,0.645,0.645,1.0,0.595,0.595,1.0
wv_3d,align=0.5,MTL0.2,2,"[0, 0, 1, 1]",50,0.2,0.995,0.96599996,0.9925,0.93075,0.90525,0.5575,0.5625,1.0,0.56,0.56,1.0,0.55,0.5525,1.0
wv_3d,align=0.5,MTL0.5,2,"[0, 0, 1, 1]",50,0.5,0.995,0.9651666,0.995,0.91875,0.8975,0.5275,0.5275,1.0,0.545,0.545,1.0,0.53,0.5325,1.0
wv_3d,align=0.5,MTL0.8,2,"[0, 0, 1, 1]",50,0.8,0.995,0.9625,0.9925,0.93675,0.913,0.605,0.605,1.0,0.57,0.5725,1.0,0.5425,0.545,1.0
wv_3d,align=0.5,TN,2,"[0, 0, 1, 1]",50,0.0,0.5475,0.9665,0.685,0.9295,0.902,0.555,0.58,1.0,0.5475,0.54,1.0,0.56,0.5625,1.0
